blk_read_time,blk_write_time,checkpoints_req,checkpoints_timed,deadlocks,effective_cache_size,latency average,maintenance_work_mem,max_parallel_workers_per_gather,max_wal_size,number of failed transactions,number of transactions actually processed,random_page_cost,shared_buffers,temp_bytes,tps,trial,wal_buffers,work_mem
0.0,0.0,2963.0,74.0,0.0,6144MB,13.716,32MB,3,6144MB,0.0,2791666.0,1.0599356110323301,10GB,20040171520.0,4654.686353,69,256MB,2MB
0.0,0.0,2974.0,74.0,0.0,8192MB,13.664,32MB,3,6144MB,0.0,2802233.0,1.0380774258005607,14GB,20040171520.0,4672.167775,70,256MB,2MB
0.0,0.0,2985.0,74.0,0.0,8192MB,13.335,32MB,3,6144MB,0.0,2871047.0,1.0212695792478734,10GB,20040171520.0,4786.952625,71,256MB,2MB
0.0,0.0,2996.0,74.0,0.0,8192MB,13.616,32MB,3,6144MB,0.0,2812035.0,1.0225046002405187,10GB,20040171520.0,4688.678342,72,256MB,2MB
0.0,0.0,3007.0,74.0,0.0,8192MB,13.646,32MB,3,6144MB,0.0,2805848.0,1.0282864750501375,10GB,20040171520.0,4678.212418,73,256MB,2MB
0.0,0.0,3018.0,74.0,0.0,8192MB,13.55,32MB,3,6144MB,0.0,2825785.0,1.002657084015584,10GB,20040171520.0,4711.522247,74,256MB,2MB
0.0,0.0,3029.0,74.0,0.0,8192MB,13.586,32MB,3,6144MB,0.0,2818332.0,1.0158626087937945,10GB,20040171520.0,4699.030137,75,256MB,2MB
0.0,0.0,3046.0,74.0,0.0,8192MB,14.052,32MB,2,4096MB,0.0,2725161.0,1.0095437804099106,10GB,20040171520.0,4543.626645,76,256MB,8MB
0.0,0.0,3059.0,74.0,0.0,8192MB,14.602,128MB,3,6144MB,0.0,2622637.0,1.0468462632803943,14GB,20040171520.0,4372.771274,77,64MB,2MB
0.0,0.0,3071.0,74.0,0.0,6144MB,14.49,256MB,7,6144MB,0.0,2642930.0,1.0353081608002002,10GB,20040171520.0,4406.54884,78,256MB,2MB
0.0,0.0,3079.0,74.0,0.0,8192MB,13.815,32MB,5,8192MB,0.0,2771730.0,1.0765527439422538,10GB,20040171520.0,4621.346564,79,256MB,2MB
0.0,0.0,3090.0,74.0,0.0,8192MB,13.855,32MB,3,6144MB,0.0,2763685.0,1.0209330376764367,10GB,20040171520.0,4607.882732,80,256MB,2MB
0.0,0.0,3101.0,74.0,0.0,8192MB,13.478,32MB,3,6144MB,0.0,2840820.0,1.0015870260034676,10GB,20040171520.0,4736.436583,81,256MB,2MB
0.0,0.0,3112.0,74.0,0.0,8192MB,13.714,32MB,3,6144MB,0.0,2792120.0,1.0084358881721034,10GB,20040171520.0,4655.402198,82,256MB,2MB
0.0,0.0,3123.0,74.0,0.0,8192MB,13.656,32MB,3,6144MB,0.0,2803927.0,1.030540401940105,10GB,20040171520.0,4675.133435,83,256MB,2MB
0.0,0.0,3134.0,74.0,0.0,8192MB,13.773,32MB,3,6144MB,0.0,2780039.0,1.0420461765073281,12GB,20040171520.0,4635.194649,84,256MB,2MB
0.0,0.0,3145.0,74.0,0.0,8192MB,13.894,32MB,3,6144MB,0.0,2756071.0,1.0188573042430762,10GB,20040171520.0,4595.282718,85,256MB,2MB
0.0,0.0,3163.0,74.0,0.0,6144MB,15.075,128MB,5,4096MB,0.0,2540603.0,1.0001274311341892,14GB,20040171520.0,4235.966618,86,256MB,2MB
0.0,0.0,3173.0,74.0,0.0,6144MB,14.841,256MB,4,8192MB,0.0,2580705.0,1.05101762216324,10GB,20040171520.0,4302.837043,87,256MB,2MB
0.0,0.0,3184.0,74.0,0.0,8192MB,14.661,32MB,2,6144MB,0.0,2612477.0,1.0641656813244185,10GB,20040171520.0,4355.838319,88,64MB,2MB
0.0,0.0,3195.0,74.0,0.0,8192MB,14.015,32MB,3,6144MB,0.0,2732400.0,1.0285103192747063,10GB,20040171520.0,4555.697377,89,128MB,8MB
0.0,0.0,3203.0,74.0,0.0,8192MB,13.957,32MB,3,8192MB,0.0,2743714.0,1.0110798043995348,14GB,20040171520.0,4574.802643,90,256MB,8MB
0.0,0.0,3214.0,74.0,0.0,8192MB,13.929,32MB,3,6144MB,0.0,2749004.0,1.0053386025126103,10GB,20040171520.0,4583.134375,91,256MB,2MB
0.0,0.0,3225.0,74.0,0.0,8192MB,14.012,32MB,3,6144MB,0.0,2732914.0,1.0011707319273961,10GB,20040171520.0,4556.509161,92,256MB,2MB
0.0,0.0,3236.0,74.0,0.0,8192MB,13.673,32MB,3,6144MB,0.0,2800442.0,1.0194318803703586,10GB,20040171520.0,4669.260944,93,256MB,2MB
0.0,0.0,3247.0,74.0,0.0,8192MB,14.025,32MB,7,6144MB,0.0,2730399.0,1.0081629156697796,10GB,20040171520.0,4552.468643,94,256MB,2MB
0.0,0.0,3260.0,74.0,0.0,2048MB,14.981,64MB,5,6144MB,0.0,2556545.0,1.0547194552941073,10GB,20040171520.0,4262.476108,95,256MB,2MB
0.0,0.0,3271.0,74.0,0.0,8192MB,14.096,32MB,4,6144MB,0.0,2716757.0,1.0150425467469333,10GB,20040171520.0,4529.749602,96,256MB,2MB
0.0,0.0,3283.0,74.0,0.0,8192MB,14.762,256MB,3,6144MB,0.0,2594194.0,1.0419472219833812,12GB,20040171520.0,4325.466427,97,256MB,2MB
0.0,0.0,3300.0,74.0,0.0,8192MB,15.088,128MB,3,4096MB,0.0,2538624.0,1.0313740132213787,10GB,20040171520.0,4232.733799,98,256MB,2MB
0.0,0.0,3311.0,74.0,0.0,8192MB,14.157,32MB,3,6144MB,0.0,2705062.0,1.0213426653924311,10GB,20040171520.0,4510.25915,99,256MB,2MB
